mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,label,filepath
-422.0692,71.83134,-4.9106407,-3.9979806,-7.241182,-7.269346,-12.512687,1.8196491,-4.881926,0.19595751,-2.2203052,-0.122865014,1.397884,198.07443,80.94579,15.371362,12.018627,12.089733,15.047469,16.042786,9.751573,12.497128,5.3378944,6.989572,5.8110514,5.3601108,go,C:\Projects\Audio_ML project\data\raw\go\a13e0a74_nohash_0.wav
-786.9319,31.522915,7.398018,43.726013,-18.506054,-4.538807,-10.17851,-7.5469184,-3.680368,-7.0683913,-10.860113,-4.002199,-1.4532013,183.19063,72.87175,35.58099,57.463264,24.437834,26.992208,20.811789,13.855405,12.834693,11.674246,14.870109,10.277334,6.4594283,yes,C:\Projects\Audio_ML project\data\raw\yes\cb2929ce_nohash_4.wav
-476.39417,136.90404,17.79585,3.0634513,-9.402158,25.771515,11.235157,15.837452,-0.56519043,9.461821,8.872307,10.390012,3.6159685,73.365906,26.100986,19.970201,19.277416,23.729198,7.7907357,6.461209,9.979429,8.139483,8.825036,8.898761,10.425469,6.3970165,go,C:\Projects\Audio_ML project\data\raw\go\bd11c654_nohash_0.wav
-627.8361,98.78015,-4.0412364,-7.2832317,-8.382411,2.5231895,-5.0412664,-4.3630404,-10.661734,5.69732,-17.936666,7.9545794,-11.166955,219.67966,82.47684,21.273964,24.451195,14.636098,11.535106,8.36725,15.686215,10.437239,16.767258,20.091032,15.092202,11.822535,no,C:\Projects\Audio_ML project\data\raw\no\8a5acefd_nohash_0.wav
-675.47644,80.04075,-7.3810983,13.232353,-15.983718,6.5727053,-8.756088,-4.570688,-9.479595,-3.0989385,-1.624654,-5.1662645,-5.1741457,206.89748,79.35444,31.334166,22.119093,23.955824,7.780408,11.5285,9.364215,13.083851,5.954861,10.157449,8.892339,6.760434,no,C:\Projects\Audio_ML project\data\raw\no\14775481_nohash_1.wav
-568.8705,66.89984,1.1492537,2.7185829,-2.8320763,-1.4914453,-0.19685021,-4.7764854,2.344425,-6.8249974,-3.8182368,11.290923,-8.814485,209.31758,85.32653,29.210604,7.155337,13.965884,8.997055,12.806799,16.774649,10.678758,15.082247,8.840548,18.29856,13.822816,go,C:\Projects\Audio_ML project\data\raw\go\f19c1390_nohash_4.wav
-457.95557,117.61873,8.349917,10.284829,-3.2655592,0.20451434,3.9449618,3.5189762,-3.1693943,-4.583825,-4.744229,-4.690119,-5.8737836,206.17732,105.388885,30.689045,13.694168,11.784155,10.726585,10.626584,7.679165,6.258041,10.043357,7.0304184,8.131229,6.8889427,go,C:\Projects\Audio_ML project\data\raw\go\c1d39ce8_nohash_5.wav
-753.4688,90.06145,-11.991321,9.131892,13.101768,-3.616992,-2.7624073,0.5106355,1.7648866,2.8447711,-6.6589317,6.2226963,-1.5409936,194.5381,89.57403,36.788357,18.23361,15.685824,19.81062,6.601576,7.196229,8.728986,7.394407,12.741544,10.200951,6.7904706,no,C:\Projects\Audio_ML project\data\raw\no\4fd4d073_nohash_0.wav
-595.7477,40.806316,9.60973,8.80547,-8.839844,-7.5057187,-4.2622824,-3.3981943,-2.575954,-0.37042633,-2.689127,0.2879273,-3.1230958,200.783,61.087727,28.271366,30.337193,13.246668,14.669596,11.662676,7.3305855,12.486002,7.5969076,11.365613,5.982654,7.9525647,yes,C:\Projects\Audio_ML project\data\raw\yes\c120e80e_nohash_6.wav
-653.941,51.343914,-17.71499,13.196309,-6.2192507,9.6269045,-1.6393704,-0.4744205,-5.128547,5.1211715,5.842669,3.6374266,-5.913829,239.43378,59.756393,29.250643,15.893375,14.653093,13.30621,6.0197835,10.75177,8.319647,7.525587,8.758148,7.8797946,11.430666,up,C:\Projects\Audio_ML project\data\raw\up\68dd409e_nohash_0.wav
-763.3829,18.072716,20.69375,18.545,6.960795,-14.599272,-12.535409,0.70987207,-8.139583,-2.624724,-9.325552,7.3655567,-5.9714756,177.49625,62.32364,34.10808,48.71813,10.037072,27.44503,22.2301,11.2037115,15.032516,6.44835,13.82787,10.22762,9.728782,yes,C:\Projects\Audio_ML project\data\raw\yes\1942abd7_nohash_0.wav
-608.5741,88.71495,-6.582206,4.466685,-2.553928,-3.3669612,4.4496236,-3.6758044,4.1862054,-3.6823199,-7.6130767,13.591849,-10.222386,219.32275,97.77598,34.515053,15.905809,13.958552,13.326088,11.107068,18.654509,10.741744,15.88204,13.285228,21.792982,15.129738,no,C:\Projects\Audio_ML project\data\raw\no\f19c1390_nohash_4.wav
-472.26422,36.036674,3.5320494,-1.0915183,-4.7970376,11.09847,-9.036291,11.462276,-7.0391526,-0.048161265,-10.427349,-6.3209724,-11.738703,190.7272,37.03005,21.56441,26.78519,18.291086,12.182145,21.791714,16.872402,13.250093,10.168934,10.845648,10.061655,9.864129,up,C:\Projects\Audio_ML project\data\raw\up\0e5193e6_nohash_0.wav
-574.98737,33.61957,-6.040274,12.84572,-2.0941052,-3.8076482,-7.6735134,-5.529033,-2.2557695,1.2742752,-9.298599,-0.012607681,-0.8637076,189.33427,58.87984,23.31726,27.034826,7.7303,10.484291,18.02962,13.73846,8.9038105,8.739705,14.966795,4.1033487,6.8250604,yes,C:\Projects\Audio_ML project\data\raw\yes\e102119e_nohash_1.wav
-640.83746,63.95036,18.464817,5.059643,-6.7634177,-4.4603624,-2.1143005,-4.7070045,-5.683219,-5.3475456,-3.046253,-4.0946674,-5.4067082,143.4126,87.51772,27.55996,12.235143,15.119013,16.261303,7.9254236,9.668283,10.227713,8.772736,6.635397,8.846458,10.274855,go,C:\Projects\Audio_ML project\data\raw\go\b9f46737_nohash_4.wav
-883.1105,39.937737,6.9712563,1.5298837,6.122297,0.8767849,2.6866486,1.0756924,0.78893524,0.28699735,-1.5209723,-0.81440574,-1.295679,185.1519,53.58372,18.51324,9.21904,10.161036,7.812273,12.771397,5.516079,9.284441,7.079205,5.56272,5.407081,5.614951,go,C:\Projects\Audio_ML project\data\raw\go\dbb40d24_nohash_1.wav
-447.53528,107.10527,-78.666336,-38.61654,-33.84174,1.9863919,-28.352594,-13.640918,-24.469156,-13.979744,-20.69017,-12.235572,-15.050575,88.27357,28.54505,20.3198,16.802675,29.041101,9.226213,10.490644,10.610093,11.42043,9.140001,10.0193815,7.830056,8.090108,up,C:\Projects\Audio_ML project\data\raw\up\f297e878_nohash_1.wav
-698.6927,52.883095,-1.23545,3.779892,-9.315386,-10.0450945,-6.2649336,-5.7577453,-0.82285917,-5.6515718,-12.762733,1.0666018,1.5758134,146.11407,83.65091,43.27631,21.216524,19.464937,20.327839,14.288426,15.633948,13.219819,9.27259,19.104338,7.1821146,6.474099,yes,C:\Projects\Audio_ML project\data\raw\yes\48bdc11c_nohash_0.wav
-593.06085,55.70266,0.75390214,-5.0850935,-11.587171,-5.0401444,-8.494535,-4.328908,-3.926002,-6.5629516,-3.6025279,-1.8811301,-4.2962513,167.70453,86.09963,25.066545,10.516947,21.49769,10.616782,16.945362,8.769637,7.925604,11.264513,10.381176,6.2831516,8.562157,go,C:\Projects\Audio_ML project\data\raw\go\325a0c39_nohash_0.wav
-616.4508,56.254013,2.0656004,6.3294845,-3.559636,1.6113312,6.1424093,2.4569585,0.46414718,5.3834057,3.9816866,0.8122577,-4.480498,149.3119,81.77189,17.8164,12.387109,19.663843,7.7801585,10.385406,9.645486,8.898703,9.022513,8.578897,5.0296297,7.890529,up,C:\Projects\Audio_ML project\data\raw\up\106a6183_nohash_0.wav
-708.29034,34.0265,-17.553305,-0.25517753,-12.592394,1.4157047,-0.78642625,-1.2712647,0.32414085,-2.2071683,-5.082388,-7.699952,0.47669592,172.86966,60.3259,35.08726,12.72456,23.841597,4.2820177,5.223617,5.0205846,4.8679695,5.7397256,9.238333,14.159256,4.2519903,up,C:\Projects\Audio_ML project\data\raw\up\ec74a8a5_nohash_0.wav
-436.1349,86.38181,10.144383,24.090416,-2.4328086,24.718767,8.569119,26.955864,12.010848,23.274487,10.248487,14.91337,7.0054655,90.52267,32.433327,16.838894,17.336376,26.326109,7.185845,7.295842,7.799702,9.030789,8.847064,6.769725,11.46958,6.419639,up,C:\Projects\Audio_ML project\data\raw\up\ee4a907f_nohash_0.wav
-912.21594,35.008434,-2.1405423,-0.6776384,6.366337,0.7223491,2.6406057,-0.21278532,3.082368,1.4848381,-4.1823425,-3.8215046,-0.16798888,189.97641,63.384567,8.1902275,9.326797,11.660405,6.0432463,9.19132,4.9660144,8.165387,5.8647346,9.851119,8.7801695,3.3820193,stop,C:\Projects\Audio_ML project\data\raw\stop\dbb40d24_nohash_1.wav
-794.4825,62.551495,10.485799,14.264516,-7.715486,-0.31368166,-1.2630358,1.6670375,-6.808556,-1.5372999,-1.8237256,8.133344,-1.2307898,190.15178,79.0215,20.825806,18.116589,17.38953,7.1351676,8.916324,8.455027,11.554429,5.154507,8.685161,14.458938,6.7261577,go,C:\Projects\Audio_ML project\data\raw\go\98582fee_nohash_1.wav
-589.3556,53.26836,-1.9493037,12.768138,-5.939772,-6.916263,-0.8846385,-4.418691,1.9966031,4.554991,-0.9779581,5.1320734,-2.3951743,175.58112,78.37346,31.55437,30.71595,9.702049,16.000757,7.745476,14.891438,6.399911,7.5991926,3.5332878,8.598698,7.3299446,yes,C:\Projects\Audio_ML project\data\raw\yes\d0faf7e4_nohash_4.wav
